kota;type;provinsi
Mahakam Ulu;Kabupaten;Kalimantan Timur
Majalengka;Kabupaten;Jawa Barat
Majene;Kabupaten;Sulawesi Barat
Makassar;Kota;Sulawesi Selatan
Malaka;Kabupaten;Nusa Tenggara Timur (NTT)
Malang;Kabupaten;Jawa Timur
Malang;Kota;Jawa Timur
Malinau;Kabupaten;Kalimantan Utara
Maluku Barat Daya;Kabupaten;Maluku
Maluku Tengah;Kabupaten;Maluku
Maluku Tenggara;Kabupaten;Maluku
Mamasa;Kabupaten;Sulawesi Barat
Mamberamo Raya;Kabupaten;Papua
Mamberamo Tengah;Kabupaten;Papua Pegunungan
Mamuju;Kabupaten;Sulawesi Barat
Mamuju Tengah;Kabupaten;Sulawesi Barat
Manado;Kota;Sulawesi Utara
Mandailing Natal;Kabupaten;Sumatera Utara
Manggarai;Kabupaten;Nusa Tenggara Timur (NTT)
Manggarai Barat;Kabupaten;Nusa Tenggara Timur (NTT)
Manggarai Timur;Kabupaten;Nusa Tenggara Timur (NTT)
Manokwari;Kabupaten;Papua Barat
Manokwari Selatan;Kabupaten;Papua Barat
Mappi;Kabupaten;Papua Selatan
Maros;Kabupaten;Sulawesi Selatan
Mataram;Kota;Nusa Tenggara Barat (NTB)
Maybrat;Kabupaten;Papua Barat Daya
Medan;Kota;Sumatera Utara
Melawi;Kabupaten;Kalimantan Barat
Mempawah;Kabupaten;Kalimantan Barat
Merangin;Kabupaten;Jambi
Merauke;Kabupaten;Papua Selatan
Mesuji;Kabupaten;Lampung
Metro;Kota;Lampung
Mimika;Kabupaten;Papua Tengah
Minahasa;Kabupaten;Sulawesi Utara
Minahasa Selatan;Kabupaten;Sulawesi Utara
Minahasa Tenggara;Kabupaten;Sulawesi Utara
Minahasa Utara;Kabupaten;Sulawesi Utara
Mojokerto;Kabupaten;Jawa Timur
Mojokerto;Kota;Jawa Timur
Morowali;Kabupaten;Sulawesi Tengah
Morowali Utara;Kabupaten;Sulawesi Tengah
Muara Enim;Kabupaten;Sumatera Selatan
Muaro Jambi;Kabupaten;Jambi
Muko Muko;Kabupaten;Bengkulu
Muna;Kabupaten;Sulawesi Tenggara
Muna Barat;Kabupaten;Sulawesi Tenggara
Murung Raya;Kabupaten;Kalimantan Tengah
Musi Banyuasin;Kabupaten;Sumatera Selatan
Musi Rawas;Kabupaten;Sumatera Selatan
Musi Rawas Utara;Kabupaten;Sumatera Selatan
Nabire;Kabupaten;Papua Tengah
Nagan Raya;Kabupaten;Aceh (NAD)
Nagekeo;Kabupaten;Nusa Tenggara Timur (NTT)
Natuna;Kabupaten;Kepulauan Riau
Nduga;Kabupaten;Papua Pegunungan
Ngada;Kabupaten;Nusa Tenggara Timur (NTT)
Nganjuk;Kabupaten;Jawa Timur
Ngawi;Kabupaten;Jawa Timur
Nias;Kabupaten;Sumatera Utara
Nias Barat;Kabupaten;Sumatera Utara
Nias Selatan;Kabupaten;Sumatera Utara
Nias Utara;Kabupaten;Sumatera Utara
Nunukan;Kabupaten;Kalimantan Utara
Ogan Ilir;Kabupaten;Sumatera Selatan
Ogan Komering Ilir;Kabupaten;Sumatera Selatan
Ogan Komering Ulu;Kabupaten;Sumatera Selatan
Ogan Komering Ulu Selatan;Kabupaten;Sumatera Selatan
Ogan Komering Ulu Timur;Kabupaten;Sumatera Selatan
Pacitan;Kabupaten;Jawa Timur
Padang;Kota;Sumatera Barat
Padang Lawas;Kabupaten;Sumatera Utara
Padang Lawas Utara;Kabupaten;Sumatera Utara
Padang Panjang;Kota;Sumatera Barat
Padang Pariaman;Kabupaten;Sumatera Barat
Padangsidimpuan;Kota;Sumatera Utara
Pagar Alam;Kota;Sumatera Selatan
Pahuwato;Kabupaten;Gorontalo
Pakpak Bharat;Kabupaten;Sumatera Utara
Palangkaraya;Kota;Kalimantan Tengah
Palembang;Kota;Sumatera Selatan
Palopo;Kota;Sulawesi Selatan
Palu;Kota;Sulawesi Tengah
Pamekasan;Kabupaten;Jawa Timur
Pandeglang;Kabupaten;Banten
Pangandaran;Kabupaten;Jawa Barat
Pangkajene Kepulauan;Kabupaten;Sulawesi Selatan
Pangkal Pinang;Kota;Kepulauan Bangka Belitung
Paniai;Kabupaten;Papua Tengah
Pare Pare;Kota;Sulawesi Selatan
Pariaman;Kota;Sumatera Barat
Parigi Moutong;Kabupaten;Sulawesi Tengah
Pasaman;Kabupaten;Sumatera Barat
Pasaman Barat;Kabupaten;Sumatera Barat
Pasangkayu (Mamuju Utara);Kabupaten;Sulawesi Barat
Paser;Kabupaten;Kalimantan Timur
Pasuruan;Kabupaten;Jawa Timur
Pasuruan;Kota;Jawa Timur
Pati;Kabupaten;Jawa Tengah
Payakumbuh;Kota;Sumatera Barat
Pegunungan Arfak;Kabupaten;Papua Barat
Pegunungan Bintang;Kabupaten;Papua Pegunungan
Pekalongan;Kabupaten;Jawa Tengah
Pekalongan;Kota;Jawa Tengah
Pekanbaru;Kota;Riau
Pelalawan;Kabupaten;Riau
Pemalang;Kabupaten;Jawa Tengah
Pematangsiantar;Kota;Sumatera Utara
Penajam Paser Utara;Kabupaten;Kalimantan Timur
Penukal Abab Lematang Ilir;Kabupaten;Sumatera Selatan
Pesawaran;Kabupaten;Lampung
Pesisir Barat;Kabupaten;Lampung
Pesisir Selatan;Kabupaten;Sumatera Barat
Pidie;Kabupaten;Aceh (NAD)
Pidie Jaya;Kabupaten;Aceh (NAD)
Pinrang;Kabupaten;Sulawesi Selatan
Polewali Mandar;Kabupaten;Sulawesi Barat
Ponorogo;Kabupaten;Jawa Timur
Pontianak;Kota;Kalimantan Barat
Poso;Kabupaten;Sulawesi Tengah
Prabumulih;Kota;Sumatera Selatan
Pringsewu;Kabupaten;Lampung
Probolinggo;Kabupaten;Jawa Timur
Probolinggo;Kota;Jawa Timur
Pulang Pisau;Kabupaten;Kalimantan Tengah
Pulau Morotai;Kabupaten;Maluku Utara
Pulau Taliabu;Kabupaten;Maluku Utara
Puncak;Kabupaten;Papua Tengah
Puncak Jaya;Kabupaten;Papua Tengah
Purbalingga;Kabupaten;Jawa Tengah
Purwakarta;Kabupaten;Jawa Barat
Purworejo;Kabupaten;Jawa Tengah
Raja Ampat;Kabupaten;Papua Barat Daya
Rejang Lebong;Kabupaten;Bengkulu
Rembang;Kabupaten;Jawa Tengah
Rokan Hilir;Kabupaten;Riau
Rokan Hulu;Kabupaten;Riau
Rote Ndao;Kabupaten;Nusa Tenggara Timur (NTT)
Sabang;Kota;Aceh (NAD)
